category,lat,lon,name,amenity
hospital,51.6320636,-0.1183042,Priory Hospital,hospital
hospital,51.5818328,-0.1238426,Crouch End Health Centre,clinic
hospital,51.6992501,-0.0332109,Cheshunt Community Hospital,hospital
hospital,51.4535827,-0.0778028,,clinic
hospital,51.4732684,-0.1663173,Bridge Lane Health Centre,hospital
hospital,51.453884,-0.1193103,Marie Stopes Clinic,clinic
hospital,51.423089,-0.1070682,British Home & Hospital for Incurables,hospital
hospital,51.39741,-0.0955589,Thornton Heath Health Centre,clinic
hospital,51.549238,-0.1081868,Notvello,clinic
hospital,51.3342286,-0.2664719,Derby Medical Centre,clinic
hospital,51.5123081,-0.212474,Walmer Road Clinic,clinic
hospital,51.4969988,-0.2432166,Park Medical Centre,clinic
hospital,51.3246567,-0.2724509,South West London Elective Orthopaedic Centre (SWLEOC),clinic
hospital,51.3582569,0.1316749,Chelsfield Park Hospital,hospital
hospital,51.4338957,0.2608497,Jasmine Centre,hospital
hospital,51.433839,0.2608422,King's / Dartford Dialysis Unit,hospital
hospital,51.5145964,-0.132073,NHS Soho Walk-In Centre (Minor Injuries unit),clinic
hospital,51.5440667,-0.4494442,Oak Farm Clinic,clinic
hospital,51.4082042,-0.0045395,Sloane Hospital,hospital
hospital,51.5283986,0.1086869,Riverside Clinic,clinic
hospital,51.3995532,0.0614426,Bromley Park medical Centre,clinic
hospital,51.5173277,-0.1416484,Reviv,clinic
hospital,51.5167988,-0.1118639,Central Health,clinic
hospital,51.5264209,-0.1393128,South Camden Centre for Health,clinic
hospital,51.3797984,-0.1848418,Queen Mary's Childrens' Hospital,hospital
hospital,51.4893784,-0.034231,Lind Clinic,clinic
hospital,51.3434473,-0.0182893,Parkway Health Centre,clinic
hospital,51.5500454,-0.2196844,Walm Lane Clinic,clinic
hospital,51.5657482,-0.351816,The Sherwood Clinic,beauty_clinic
hospital,51.4675029,0.1335396,Birkbeck Clinic,clinic
hospital,51.5134007,-0.078508,Homerton Sexual Health,clinic
hospital,51.3849908,-0.1747766,Green Wyrthe Surgery,clinic
hospital,51.5180932,-0.1002995,Gamma Knife & Reproductive Medice,hospital_department
hospital,51.5179842,-0.1000444,St Barts Sexual Health Clinic,clinic
hospital,51.4020487,-0.1715368,Chapel Orchard Day Surgery,hospital
hospital,51.593437,0.0226489,Numi Scan East London,clinic
hospital,51.5832745,-0.1000397,Medipark Clinic,clinic
hospital,51.4824867,-0.0188626,The Carnaby Laser Clinic,clinic
hospital,51.5638678,-0.2767022,Chalkhill Primary Care Centre,clinic
hospital,51.5371663,-0.1311841,Mary Rankin Dialysis Unit,clinic
hospital,51.660966,0.1844401,Suttons Manor Hospital,hospital
hospital,51.5886102,-0.058293,Tottenham Hale Kidney & Diabetes Centre,clinic
hospital,51.4770852,-0.0398878,New Cross Gate Dialysis Unit,clinic
hospital,51.5224709,-0.1435858,The Portland Hospital,hospital
hospital,51.5229616,-0.1438151,The Centre for Reproductive and Genetic Health,clinic
hospital,51.5207633,-0.1431855,Randox Health,clinic
hospital,51.3249345,-0.2723237,Accident & Emergency,clinic
hospital,51.492704,-0.138808,Victoria Medical Centre,clinic
hospital,51.481085,-0.1134785,The Monteiro Clinic,clinic
hospital,51.496756,-0.1259686,Capital Physio,clinic
hospital,51.4603837,-0.1672907,The Glass House,clinic
hospital,51.5401389,-0.1347956,Counselling London Psychotherapy,clinic
hospital,51.514924,-0.0969288,CREATE Fertility,clinic
hospital,51.559677,-0.1100727,The Village Practice,clinic
hospital,51.5173811,-0.0874896,My Vital Metrics,clinic
hospital,51.5485913,-0.0402417,Vivienne Cohen House,clinic
hospital,51.5064007,-0.1031888,Burrell Street Sexual Health Centre,clinic
hospital,51.5175513,-0.1193901,The London Skin and Hair Clinic Holborn,clinic
hospital,51.5181951,-0.1505503,Alliance Medical,clinic
hospital,51.4443351,-0.3457419,Body Logic Physiotherapy,clinic
hospital,51.432751,-0.4612781,The Vanity Clinic,clinic
hospital,51.52862,-0.1883261,Maida Vale Medical Centre,clinic
hospital,51.5065509,-0.2380755,Chiropody Clinic,clinic
hospital,51.6721085,-0.039334,Ordnance Unity Centre for Health,clinic
hospital,51.4463836,-0.411171,Feltham Health Centre (NHS),clinic
hospital,51.5800619,-0.0878505,Moorfields Eye Unit,clinic
hospital,51.5164435,-0.0593893,Smokers Clinic,clinic
hospital,51.5167501,-0.0601375,Health and Wellness Centre,clinic
hospital,51.5166267,-0.0595295,Tobacco Dependence Research Unit,clinic
hospital,51.6055711,-0.3005147,Honeypot Lane Centre NHS Clinic,clinic
hospital,51.5303264,-0.0212786,London Physiotherapy and Wellness,clinic
hospital,51.4669064,-0.1503894,Queenstown Medical Centre,clinic
hospital,51.5372652,-0.0032842,InHealth Diagnostic Centre,clinic
hospital,51.5135273,-0.0914607,One Heart Clinic City,clinic
hospital,51.4641173,-0.3016459,Weight Medics,clinic
hospital,51.4615552,-0.3033831,St. John Clinic,clinic
hospital,51.5780632,0.0702466,The Scan Clinic,clinic
hospital,51.4958874,-0.1696504,Kensington International Clinic,clinic
hospital,51.5659898,-0.0515321,HomeMed Healthcare,clinic
hospital,51.5226767,-0.1360865,Institute of Sport Exercise and Health,clinic
hospital,51.2955243,-0.3271713,Acupunture Therapy Centre,clinic
hospital,51.460841,-0.1632458,Battersea Rise Surgery,clinic
hospital,51.5960737,-0.2416471,The Park Clinic,clinic
hospital,51.4536675,-0.1921071,Wandsworth Medical Centre,clinic
hospital,51.5955723,-0.2989516,The Medical Centre,clinic
hospital,51.6111624,-0.0650284,Silverpoint Medical,clinic
hospital,51.5669743,-0.3630229,Roxburgh Medical Centre,clinic
hospital,51.5725911,-0.1400033,Highgate Chiropractic,clinic
hospital,51.5646446,-0.3549345,Bay Osteopath,clinic
hospital,51.4761076,-0.0939964,Camberwell Foot Clinic,clinic
hospital,51.5512217,-0.1101828,pulse,clinic
hospital,51.5852216,-0.1796411,Heathfielde Medical Centre,clinic
hospital,51.329097,-0.411251,Well Life Clinic,clinic
hospital,51.5005253,-0.1939749,Randox Health Kensington,clinic
hospital,51.5465163,-0.1469249,Prince Of Wales Medical Centre,clinic
hospital,51.5060927,-0.2787397,GCH Acton Care Centre,clinic
hospital,51.5184136,-0.1498802,London Digestive Centre,clinic
hospital,51.5006021,-0.01712,Nuffield Health Fitness & Wellbeing,clinic
hospital,51.5762849,-0.3233957,Parexel,clinic
hospital,51.5747948,-0.3193794,PAREXEL LAB,clinic
hospital,51.5401,-0.1512075,Garry Trainer Clinic,clinic
hospital,51.664133,-0.398486,Morris Osteopathic Centre,clinic
hospital,51.4941471,-0.1269023,Millbank Medical Centre,clinic
hospital,51.5167908,-0.0842929,HCA Healthcare Medical Centre,clinic
hospital,51.4304987,-0.0240287,Bellingham Green Surgery,clinic
hospital,51.295826,-0.3195308,Leatherhead Clinic,hospital
hospital,51.5752773,0.1839256,Havering Clinical Commissioning Group,clinic
hospital,51.4585209,0.0044613,Lewisham Medical Centre,clinic
hospital,51.6308062,0.3287062,British Hair Clinic,clinic
hospital,51.5223248,-0.1447784,Skin Science Clinic,clinic
hospital,51.3585573,-0.1450523,The Surrey Clinic,clinic
hospital,51.4710386,-0.0932329,Camberwell Sexual Health Centre,clinic
hospital,51.4711581,-0.0932423,Breast Screening,clinic
hospital,51.5311177,-0.23043,Dermafaye,clinic
hospital,51.3781157,-0.0610541,Shirley Clinic,clinic
hospital,51.3762875,-0.0594957,Back in Shape Clinic,clinic
hospital,51.5475851,-0.1799013,Optimax London,clinic
hospital,51.5167492,-0.1401963,Cavendish Clinic & Medispa,clinic
hospital,51.5180447,-0.1416423,,clinic
hospital,51.5200103,-0.143894,Takroni clinic,clinic
hospital,51.3286915,-0.2581281,Epsom Physiotherapy,clinic
hospital,51.3417886,-0.4643575,Prime Health,clinic
hospital,51.517045,-0.1459128,sk:n Clinics,clinic
hospital,51.3970792,0.2999366,Intrigue Cosmetic Clinic,clinic
hospital,51.5181349,-0.1458811,Harley Street Health Centre,clinic
hospital,51.511689,-0.0759459,Spinex Disc Clinic,clinic
hospital,51.32526,-0.2725394,Urgent Treatment Centre,clinic
hospital,51.5229514,-0.1486,Wellington Women's Clinic,clinic
hospital,51.5229831,-0.1486107,Ultrasound Diagnostic Services,clinic
hospital,51.5229797,-0.1485517,Harley Street Breast Clinic,clinic
hospital,51.5175086,-0.1481149,Queensway Gynaecology Clinic,clinic
hospital,51.5174803,-0.1480988,The Harley Street Hair Clinic,clinic
hospital,51.6249907,-0.0925094,North London Hospice Winchmore Hill,hospital
hospital,51.3241361,-0.2727003,sk:n,clinic
hospital,51.325699,-0.2727753,Alliance MRI Unit,clinic
hospital,51.5206081,-0.153328,Vaishaly,clinic
hospital,51.5186997,-0.1626582,Seymour Clinic,clinic
hospital,51.5233449,-0.1602014,The Functional Gut clinic,clinic
hospital,51.374353,0.11631,Eldred Drive Clinic,clinic
hospital,51.4845117,-0.1245287,Eudelo,clinic
hospital,51.6437774,0.052862,,clinic
hospital,51.5211184,-0.1492659,Nad Cell Clinic,clinic
hospital,51.5897592,-0.3324971,Harrow Talking Therapies,clinic
hospital,51.5122819,-0.2124704,National Migraine Centre,clinic
hospital,51.3689011,-0.3651272,Littleton Surgery,clinic
hospital,51.5000189,-0.2112826,Kensington Physio & Sports Medicine,clinic
hospital,51.593155,-0.3107588,Streathfield Health Centre,clinic
hospital,51.4658583,-0.2988779,Bodyvie,clinic
hospital,51.6014251,-0.3044126,Stanmore Medical Centre,clinic
hospital,51.4105115,-0.2613892,The New Malden Diagnostic Centre,clinic
hospital,51.4734219,-0.1664367,Battersea Respiratory Clinic,clinic
hospital,51.4658851,-0.1819952,Chatfield Medical Centre,clinic
hospital,51.4206423,-0.2100233,Fortius Clinic Wimbledon,clinic
hospital,51.4860038,-0.1845145,Sadaf Jaffari's Clinic,clinic
hospital,51.4201932,0.1321517,Bexley Hearing Centre,clinic
hospital,51.5148608,0.0097173,Northway Clinic,clinic
hospital,51.4738269,-0.324781,Hounslow Urgent Care Centre,clinic
hospital,51.5426174,0.0069347,Physiotherapy - Musculoskeletal Service,clinic
hospital,51.492926,-0.1585439,Sarah Chapman,clinic
hospital,51.4923815,0.0734439,Royal Arsenal Medical Centre,clinic
hospital,51.4790673,-0.3233581,Richmond Cosmetic Clinic,clinic
hospital,51.4593083,-0.0804877,Tessa Jowell Health Centre,clinic
hospital,51.5076348,-0.3444593,Moorfield At Ealing Hospital,clinic
hospital,51.3598688,-0.1935032,Sutton Dialysis Unit,clinic
hospital,51.4922049,-0.1257942,Pimlico Osteopathy,clinic
hospital,51.4542217,-0.3178271,Orchard Clinic,clinic
hospital,51.5114805,-0.4725255,Yiewsley Health Centre,clinic
hospital,51.3710335,-0.3634165,Levitas Clinic,clinic
hospital,51.5482589,-0.4779569,Belmont Medical centre,clinic
hospital,51.4422302,0.2267637,Livingstone Community Hospitals,hospital
hospital,51.3347608,-0.4079026,Cobham Day Surgery,hospital
hospital,51.4106445,-0.291746,SEON Vision,clinic
hospital,51.4929869,-0.2519528,sk:n,clinic
hospital,51.6325185,-0.1427177,Southgate Physio,clinic
hospital,51.5809866,-0.123509,OpenDoor,clinic
hospital,51.4794762,-0.1874634,VIVA SKIN CLINICS,clinic
hospital,51.5142951,-0.3370992,Skyline Medical Clinic,clinic
hospital,51.5193864,-0.1440742,Cleveland Clinic London,clinic
hospital,51.5453899,-0.1780505,My Healthcare clinic,clinic
hospital,51.5051189,-0.0889709,London Sperm Bank,clinic
hospital,51.505086,-0.0888713,London Women's Clinic,clinic
hospital,51.5050572,-0.0887844,London Egg Bank,clinic
hospital,51.4883246,-0.1379917,Pimlico Health,clinic
hospital,51.4855219,0.0084044,Vanbrugh Group Practice,clinic
hospital,51.5040609,-0.0862645,HCA Healthcare,clinic
hospital,51.547267,-0.1796212,Lemoge Clinic,clinic
hospital,51.4694328,-0.3590671,Hounslow Clinic,clinic
hospital,51.5429348,-0.1955163,Body Flow Osteopathy,clinic
hospital,51.5095795,-0.3271073,Laser Care Skin Clinic,clinic
hospital,51.522846,0.0235961,Newham CAMHS,clinic
hospital,51.5019573,0.0298173,Royal Wharf Clinic,clinic
hospital,51.5403972,-0.186287,Belsize Priory Health Centre,clinic
hospital,51.4767627,0.0209086,Sarah Crawford Advanced Aesthetics,clinic
hospital,51.4659662,0.0092179,Lauren Turner Aesthetics,clinic
hospital,51.5140725,-0.3197709,Medic,clinic
hospital,51.3361067,-0.2618505,SpaMedica Epsom,hospital
hospital,51.5455018,0.0368041,Newham Talking Therapies,clinic
hospital,51.5168387,-0.0890488,Cleveland Clinic Moorgate Outpatient Centre,clinic
hospital,51.5629134,0.0674839,Redbrige Eye Screening Centre,clinic
hospital,51.5529841,0.0732465,Loxford Children's Centre,clinic
hospital,51.4973799,-0.3131907,Back 2 Wellbeing,clinic
hospital,51.5402961,0.0010151,Moorfields at Stratford,clinic
hospital,51.4876264,-0.111489,Kennington Chiropody Surgery,clinic
hospital,51.475724,-0.1051357,Akerman Travel Clinic,clinic
hospital,51.6127562,-0.0722284,Alexander Pringle Centre,clinic
hospital,51.6132571,-0.0759386,Breast Screening Van,clinic
hospital,51.3911811,-0.1123103,Sexual Health Clinic,hospital
hospital,51.3895435,-0.1115896,Macmillan Cancer Support Centres,hospital
hospital,51.3892531,-0.1111571,Main Reception,hospital
hospital,51.388644,-0.108499,Patient Advice and Liaison Service (PALS),hospital
hospital,51.3912926,-0.1110591,Maternity Reception,hospital
hospital,51.3911477,-0.1102788,Fertility Treatment,hospital
hospital,51.3905149,-0.1093613,Gynaecology Department,hospital
hospital,51.3909333,-0.1110648,Women's Health Unit,hospital
hospital,51.3887004,-0.11113,Croydon Heart Centre,hospital
hospital,51.3902698,-0.1097438,Dental Department,hospital
hospital,51.3904846,-0.1099614,Dermatology Department,hospital
hospital,51.3886983,-0.108209,Diabetic Department,hospital
hospital,51.3888297,-0.1088304,MRI,hospital
hospital,51.3891088,-0.1087926,Main X-Ray,hospital
hospital,51.3891619,-0.1103441,Vascular Ultrasound,hospital
hospital,51.3890953,-0.1102589,Wound Clinic,hospital
hospital,51.3893068,-0.1099839,Moorfields Eye Unit,hospital
hospital,51.389144,-0.1097382,The Willows (Children's Clinic),hospital
hospital,51.3898664,-0.1107072,Day Surgery Unit (DSU),hospital
hospital,51.3887022,-0.1092569,Emergency Department,hospital
hospital,51.3894898,-0.2979944,Indigo Medical Clinic,clinic
hospital,51.5214958,-0.1645053,Pulselight Clinic,clinic
hospital,51.5539209,-0.0534734,E5 Acupuncture,clinic
hospital,51.4889281,-0.1366011,Pimlico Center For Alexander Technique,clinic
hospital,51.4775155,-0.1086772,Vassall Medical Centre,clinic
hospital,51.4687588,-0.0927953,King's College Hospital Emergency Department,hospital
hospital,51.4805962,-0.2058455,Massage in Fulham,clinic
hospital,51.4759061,-0.3329752,Studio Figura,clinic
hospital,51.4526748,-0.0184214,,clinic
hospital,51.4919676,-0.1391612,The Pimlico Clinic,clinic
hospital,51.5111975,-0.3168059,Clinica Private Healthcare,clinic
hospital,51.4925174,-0.255194,Randox Health,clinic
hospital,51.5544959,-0.1966169,The Medical Centre,clinic
hospital,51.5307363,-0.1192146,Institute of Medical Physics,clinic
hospital,51.5521855,-0.1957417,Your Skin Doctors,clinic
hospital,51.4852505,-0.1261134,Riverside medical centre,clinic
hospital,51.6428204,-0.0674595,Enfield Osteopathic Clinic,clinic
hospital,51.5225322,-0.1586963,Dr Leah Cosmetic Skin Clinic,clinic
hospital,51.5049924,-0.0157249,Freedom Clinics,clinic
hospital,51.4981614,-0.3055479,Sarah M Laser and Skin Clinic,clinic
hospital,51.5050364,-0.0215611,Randox Health,clinic
hospital,51.5812642,-0.1002045,Halley Clinic,clinic
hospital,51.4691229,-0.0927114,Dental Hospital,hospital
hospital,51.5230956,-0.1379108,MSI Reproductive Choices Local Treatment Centre,clinic
hospital,51.4994246,-0.1980569,Longevity Clinic,clinic
hospital,51.6126516,-0.0750453,Children's A&E,clinic
hospital,51.6121923,-0.0745256,A&E,clinic
hospital,51.6490168,-0.4042252,Watford General Hospital,hospital
hospital,51.5376168,-0.2494115,Murakami Medical Centre,clinic
hospital,51.5216322,-0.1213221,Great Ormond Street Outpatients - Zebra and Hippo Clinic Areas,hospital
hospital,51.5171613,-0.1459563,The Hale Clinic,clinic
hospital,51.6682749,-0.1772543,VHR,clinic
hospital,51.3962581,0.1800623,Oxygen Therapy & MS Centre,clinic
hospital,51.4694387,-0.3772728,Hounslow Medical Centre,hospital
hospital,51.4532986,-0.1017253,Health Hub Medical Practice,clinic
hospital,51.3756737,0.1011672,Orpington Health & Wellbeing Centre,clinic
hospital,51.5537323,-0.1585294,Passport Health Hampstead Travel Clinic,clinic
hospital,51.3709013,-0.4931896,Victory Nutrition,clinic
hospital,51.5190823,-0.1396885,Passport Health Fitzrovia Travel Clinic,clinic
hospital,51.515268,-0.1540282,Passport Health Marylebone Travel Clinic,clinic
hospital,51.5035108,-0.0932689,Passport Health London Bridge Travel Clinic,clinic
hospital,51.6055864,-0.2724232,Edgware NHS Walk-In Centre,clinic
hospital,51.5233685,-0.1403227,The Gender Hormone Clinic,clinic
hospital,51.5125444,-0.1320046,56 Dean Street,clinic
hospital,51.4618137,-0.2204581,Parkside Hospital,clinic
hospital,51.5175389,-0.1481263,The Doctors Laboratory,clinic
hospital,51.5196573,-0.1380023,National Hospital for Neurology and Neurosurgery at Cleveland Street,hospital
hospital,51.4135805,-0.286991,Kingston Satellite Dialysis Unit,clinic
hospital,51.5272536,0.0274717,Essex Lodge Surgery,clinic
hospital,51.5146711,-0.123788,GHB Clinic,clinic
hospital,51.4166214,-0.3705186,Nature's Medicine,clinic
hospital,51.5180141,-0.1275256,Fiore Aesthetics,clinic
hospital,51.3669294,-0.306382,Window to the Womb,clinic
hospital,51.500462,-0.0130982,The Baltic Medical Centre,clinic
hospital,51.5111224,0.0173945,Appleby Community Dental Department,clinic
hospital,51.3851108,-0.4186846,Light Fantastic,clinic
hospital,51.3687488,-0.4463824,Eternal Clinic,clinic
hospital,51.5490497,-0.0548489,Clockwork Private Health Centre,clinic
hospital,51.5507924,-0.0508631,Community Health Services,clinic
hospital,51.5183471,-0.1195015,La Rose Clinic,clinic
hospital,51.5112741,-0.0286976,CAMHS Tower Hamlets,clinic
hospital,51.5064497,-0.0266258,Lyca Health Canary Wharf,clinic
hospital,51.506175,-0.0180007,Bupa Health and Dental Centre,clinic
hospital,51.5035335,-0.014961,JM Radiology Reporting,clinic
hospital,51.5222384,-0.0473774,Tower Hamlets Stop Tobacco Service,clinic
hospital,51.5391699,0.0440658,Shrewsbury Community Dental Department,clinic
hospital,51.5202443,-0.0782943,London Pregnancy Clinic,clinic
hospital,51.5170857,-0.0577259,Blizard Institute Core Pathology,clinic
hospital,51.5152955,-0.0572611,The London Circumcision Clinic,clinic
hospital,51.5253414,-0.0425058,Family Nurse Partnership & Health Visiting,clinic
hospital,51.5240531,-0.0421554,School Health,clinic
hospital,51.5149958,-0.0136482,Health Spot,clinic
hospital,51.5372061,-0.0566933,,clinic
hospital,51.5208997,-0.1124702,Medlabs Diagnostics,hospital
hospital,51.526586,-0.0882609,Clinical Pharmacist Solutions,clinic
hospital,51.5213331,-0.0815863,Xyla Elective Care,clinic
hospital,51.5218513,-0.0847655,Your Medical Service,clinic
hospital,51.5157134,-0.0799359,I Straker Consultants,clinic
hospital,51.5109809,-0.0927245,Health Now,clinic
hospital,51.5132625,-0.0860897,Bodyscan City,clinic
hospital,51.5172114,-0.099456,Moorfields @ Barts,clinic
hospital,51.5295402,-0.1205261,Harley Street Healthcare,clinic
hospital,51.5230162,-0.1342359,Chenies Mews Imaging Centre,clinic
hospital,51.5303639,-0.1169143,National Street Healthcare,clinic
hospital,51.5225893,-0.1192936,Food Allergy Immunotherapy Centre,clinic
hospital,51.5223905,-0.1218603,Gamma Knife Centre,clinic
hospital,51.5238264,-0.1363481,Proton International @ UCLH,hospital
hospital,51.5227697,-0.1356007,Hospital For Tropical Diseases,clinic
hospital,51.5225872,-0.1352478,HCA Healthcare UK Laboratories,hospital
hospital,51.5199661,-0.1302119,Optimal Vision,hospital
hospital,51.5145533,-0.1299683,Until SOHO,hospital
hospital,51.5180997,-0.1249397,Italian Doctors Medical Clinic,clinic
hospital,51.3344902,-0.2551894,Epsom Day Surgery,clinic
hospital,51.5217376,-0.1230571,Queen Square Imaging Centre,hospital
hospital,51.5171413,-0.1207335,Liva Healthcare,clinic
hospital,51.5160719,-0.1240408,CYA Medical,clinic
hospital,51.5145501,-0.1300121,Tunica Diagnostics,hospital
hospital,51.4760404,-0.0124467,South Street Medical Centre,clinic
hospital,51.5142443,-0.1113639,Bupa Health and Dental Centre,clinic
hospital,51.5425807,0.0069491,Newham Learning Disabilities Service,clinic
hospital,51.5227136,-0.1360165,Clinical Research Facility,hospital
hospital,51.5203915,-0.0769706,Neko Health Clinic,clinic
hospital,51.5856623,-0.0016311,Reliable Scan Limited,clinic
hospital,51.5944866,0.0247025,The Art of Hearing,clinic
hospital,51.5203666,-0.1008264,The Mittal Hair Clinic,clinic
hospital,51.5234503,-0.1403723,Sleep & Health Clinic,hospital
hospital,51.577663,-0.4251129,St Martin's Medical Center,clinic
hospital,51.4985125,-0.1653877,EuroEyes LEC London,clinic
hospital,51.5171766,-0.1459544,Doctor Robert,clinic
hospital,51.5762593,0.0476658,Dewaxify,clinic
hospital,51.4683703,-0.1129431,Brixton Road Mental Health,clinic
hospital,51.467227,-0.1122664,,clinic
hospital,51.6133083,-0.072793,CT Mobile Scanner,clinic
hospital,51.4425363,-0.3877187,Little Park Surgery,clinic
hospital,51.5440001,0.0101672,Neighbourhood Health Hub,clinic
hospital,51.5229852,0.0367652,"Neonatal Unit, L1 Z2",hospital
hospital,51.5229803,0.0343603,A&E Department,hospital
hospital,51.5233041,0.0350684,Rainbow Ward,hospital
hospital,51.3724725,-0.4604032,Visage Medispa,clinic
hospital,51.3721939,-0.4614526,Light Touch Clinic,clinic
hospital,51.6001917,-0.3374846,Virgo Laser Clinic,clinic
hospital,51.5346809,-0.0898754,Moorfields at Hoxton,hospital
hospital,51.3785914,0.0174679,UltraCare Plus Ultrasound Diagnostics,clinic
hospital,51.6454984,-0.373852,Manor View Practice,clinic
hospital,51.6714927,-0.4018085,Manor View Practice,clinic
hospital,51.6257425,-0.3904071,Manor View Practice,clinic
hospital,51.4634886,0.0063193,Mr Azhar Khan,clinic
hospital,51.6371527,-0.3318249,Dr. Vikas Acharya,clinic
hospital,51.5227448,-0.1489549,Mr Sachin Malde - Harley Street,clinic
hospital,51.3966328,0.0240512,London Women's Clinic - Bromley,clinic
hospital,51.5445593,-0.0123792,Stratford Donor Centre,clinic
hospital,51.4757077,-0.1979794,Hair GP,clinic
hospital,51.4386578,0.2696704,Dripology,clinic
hospital,51.4848608,0.0045667,Woodland Surgery,clinic
hospital,51.4235348,-0.2166843,London Autism Service,clinic
hospital,51.6826962,-0.3163609,Radlett Private Doctors,clinic
hospital,51.5132743,-0.1348148,Self Space,clinic
pharmacy,51.5517548,-0.3189623,Shilun's Pharmacy,pharmacy
pharmacy,51.5554815,-0.3159253,C.K. Pharmacy,pharmacy
pharmacy,51.5575874,-0.3357604,Curapharm Chemist,pharmacy
pharmacy,51.5666342,-0.3216197,Vantage Dispensing,pharmacy
pharmacy,51.5509115,-0.3391271,Bright Health Pharmacy,pharmacy
pharmacy,51.5189016,-0.3544798,Kings Pharmacy,pharmacy
pharmacy,51.5618016,-0.3731775,Kings Pharmacy,pharmacy
pharmacy,51.5421903,-0.3458887,Parade Pharmacy,pharmacy
pharmacy,51.3656066,-0.1609632,Medipharmacy,pharmacy
pharmacy,51.5088908,-0.3350774,Church Pharmacy,pharmacy
pharmacy,51.3698642,-0.1808644,SG Barai Pharmacy,pharmacy
pharmacy,51.3717385,-0.1714801,Kamsons Pharmacy,pharmacy
pharmacy,51.3580823,-0.2166091,Frith's Chemist,pharmacy
pharmacy,51.470918,-0.0823783,V E Lettsom Pharmacy,pharmacy
pharmacy,51.5346557,-0.3328055,,pharmacy
pharmacy,51.4183326,-0.1777997,AP Chemist,pharmacy
pharmacy,51.3596275,-0.1391261,Stafford Pharmacy,pharmacy
pharmacy,51.3534016,-0.1340619,Day Lewis Pharmacy,pharmacy
pharmacy,51.465528,-0.1361307,Kamsons Pharmacy,pharmacy
pharmacy,51.4642728,-0.1310695,Pearl Pharmacy,pharmacy
pharmacy,51.4305542,-0.1298321,Touchwood Pharmacy,pharmacy
pharmacy,51.3924102,0.0020946,Rowlands Pharmacy,pharmacy
pharmacy,51.5035878,-0.3270092,Pyramid Pharmacy,pharmacy
pharmacy,51.5295582,-0.0836755,Judd's Pharmacy,pharmacy
pharmacy,51.3650437,-0.3985667,,pharmacy
pharmacy,51.5787615,-0.1240166,Boots,pharmacy
pharmacy,51.5800874,-0.1240567,Petter Pharmacy,pharmacy
pharmacy,51.5145339,-0.0981903,Superdrug,pharmacy
pharmacy,51.5141644,-0.0568886,DMB Chemist,pharmacy
pharmacy,51.5154107,-0.1907156,Nashi Pharmacy,pharmacy
pharmacy,51.5163792,-0.1874337,,pharmacy
pharmacy,51.3549247,-0.1624822,H E Matthews Pharmacy,pharmacy
pharmacy,51.4720118,-0.1225219,Harfleur Pharmacy,pharmacy
pharmacy,51.5610097,-0.0833827,Safedale Pharmacy,pharmacy
pharmacy,51.5623014,-0.0785831,Safedale,pharmacy
pharmacy,51.5621185,-0.0734295,Benjamin Chemist,pharmacy
pharmacy,51.5514752,-0.3501578,,pharmacy
pharmacy,51.4887603,-0.0074982,Cubitt Town Pharmacy,pharmacy
pharmacy,51.368573,-0.2250257,Boots,pharmacy
pharmacy,51.630385,-0.17544,Boots,pharmacy
pharmacy,51.3547652,-0.2150702,Mulgrave Road Pharmacy,pharmacy
pharmacy,51.4899019,0.3041638,Armada Pharmacy,pharmacy
pharmacy,51.4894164,-0.1899825,Zafash,pharmacy
pharmacy,51.3846004,-0.1746128,Boots,pharmacy
pharmacy,51.384412,-0.1737786,Anna Pharmacy,pharmacy
pharmacy,51.5352208,-0.0770832,Clarks Healthcare,pharmacy
pharmacy,51.5283611,-0.049473,Britannia Pharmacy,pharmacy
pharmacy,51.4645227,-0.059066,,pharmacy
pharmacy,51.5189029,0.0123796,Osbon Pharmacy,pharmacy
pharmacy,51.4966866,-0.0824823,Harfleur Pharmacy,pharmacy
pharmacy,51.4509697,-0.0854665,Rumsey Pharmacy,pharmacy
pharmacy,51.4957712,-0.1442671,Boots,pharmacy
pharmacy,51.5017624,-0.2656072,Alisha Pharmacy,pharmacy
pharmacy,51.440189,-0.1558068,Day Lewis Pharmacy,pharmacy
pharmacy,51.454244,-0.1202675,Day Lewis Pharmacy,pharmacy
pharmacy,51.426347,-0.3779045,The Hampton Pharmacy,pharmacy
pharmacy,51.5407273,-0.0951737,Apex Pharmacy,pharmacy
pharmacy,51.5399919,-0.0965676,Savemain Pharmacy,pharmacy
pharmacy,51.5372774,-0.1008878,Essex Chemist & Opticians,pharmacy
pharmacy,51.4934414,-0.175179,Harleys Pharmacy,pharmacy
pharmacy,51.5067461,-0.2709354,Dillons Pharmacy,pharmacy
pharmacy,51.4924901,-0.1778092,Dajani Pharmacy,pharmacy
pharmacy,51.5498767,-0.3061388,,pharmacy
pharmacy,51.5453923,-0.2972306,Jade Pharmacy,pharmacy
pharmacy,51.5415741,-0.2979123,Niks Pharmacy,pharmacy
pharmacy,51.5410908,-0.2608302,S&S Chemists,pharmacy
pharmacy,51.5625741,-0.3056942,,pharmacy
pharmacy,51.5368353,-0.0963483,Benzpharm,pharmacy
pharmacy,51.3989391,-0.0408319,Macks Pharmacy,pharmacy
pharmacy,51.398893,-0.0424149,Lotus Pharmacy,pharmacy
